Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
INS,Intelligent Systems Corporation Common Stock,$39.68,-2.23,-5.321%,352588425.00,United States,1992,64991,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$8.55,0.36,4.396%,90024002.00,United States,1997,62374,Capital Goods,Electrical Products
INUV,Inuvo Inc.,$1.06,-0.03,-2.752%,125624207.00,United States,,3253596,Consumer Services,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$11.369,0.00,0.00%,47388425.00,United States,,13,Consumer Services,Real Estate Investment Trusts
ISDR,Issuer Direct Corporation Common Stock,$21.86,0.37,1.722%,81794699.00,United States,,9736,Miscellaneous,Publishing
ISR,IsoRay Inc. Common Stock (DE),$1.40,-0.06,-4.11%,197679794.00,United States,,6544385,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$0.7555,-0.0245,-3.141%,41339172.00,China,,13560255,Consumer Durables,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$3.27,-0.01,-0.305%,178568739.00,,,110167,Basic Industries,Precious Metals
JOB,GEE Group Inc. Common Stock,$1.70,-0.09,-5.028%,30034109.00,United States,,202871,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$1.03,-0.03,-2.83%,48585189.00,Canada,,5853772,Capital Goods,Railroads
KLR,Kaleyra Inc. Common Stock,$18.78,0.99,5.565%,568821542.00,United States,2018,1024320,Technology,EDP Services
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$2.30,0.01,0.437%,344957098.00,United States,,1259397,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$23.49,0.05,0.213%,288249666.00,United States,2014,127873,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGL,LGL Group Inc. (The) Common Stock,$11.53,0.1967,1.736%,60640259.00,United States,,19468,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$67.39,-0.90,-1.318%,17000745871.00,United States,,2556731,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$5.41,0.02,0.371%,189245944.00,United States,,1711323,Basic Industries,Precious Metals
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$5.59,-0.46,-7.603%,145657959.00,United States,2017,102840,Consumer Services,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$39.47,-0.53,-1.325%,350291908.00,,2020,68786,Consumer Non-Durables,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$19.16,-0.47,-2.394%,529239417.00,United Kingdom,2012,100397,Basic Industries,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$19.13,-1.99,-9.422%,1812438985.00,Canada,,1132614,Basic Industries,Precious Metals
MCF,Contango Oil & Gas Company Common Stock (TX),$4.87,-0.09,-1.815%,845858729.00,United States,,835568,Energy,Oil & Gas Production
MHH,Mastech Digital Inc Common Stock,$16.00,-0.20,-1.235%,182075984.00,United States,,18803,Consumer Services,Professional Services
MLSS,Milestone Scientific Inc. Common Stock,$3.92,0.36,10.112%,249678398.00,United States,2015,1339265,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$4.82,-0.19,-3.792%,677153649.00,,,298630,Basic Industries,Precious Metals
MSN,Emerson Radio Corporation Common Stock,$1.49,-0.14,-8.589%,31353551.00,United States,,262955,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$8.69,-0.04,-0.458%,344264048.00,,,506477,Basic Industries,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$1.21,-0.08,-6.202%,241566527.00,United States,2017,2666785,Health Care,Major Pharmaceuticals
MXC,Mexco Energy Corporation Common Stock,$8.30,-0.37,-4.268%,17194828.00,United States,,24441,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$11.14,-0.86,-7.167%,51041118.00,United States,2017,357561,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.7908,0.0908,12.971%,402554076.00,Canada,,152967027,Basic Industries,Precious Metals
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$2.38,-0.07,-2.857%,66603512.00,United States,,310000,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBA,New Beginnings Acquisition Corp. Common Stock,$10.1796,0.0096,0.094%,151879632.00,,2020,25590,Finance,Business Services
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$15.62,-0.10,-0.636%,293938660.00,United States,2002,48489,,
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$12.15,0.08,0.663%,61690617.00,United States,2002,6593,,
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$13.30,0.09,0.681%,73828885.00,United States,2002,9926,,
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$1.13,0.01,0.893%,47214320.00,United States,2007,24546312,Health Care,Major Pharmaceuticals
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$52.205,-0.045,-0.086%,190688995.00,United States,,273,Consumer Services,Building operators
NES,Nuverra Environmental Solutions Inc. Common Stock,$2.29,-0.15,-6.148%,36118842.00,United States,2017,42905,Energy,Oilfield Services/Equipment
NG,Novagold Resources Inc.,$8.35,-0.61,-6.808%,2766527177.00,Canada,,2801759,Basic Industries,Precious Metals
NGD,New Gold Inc.,$1.62,-0.02,-1.22%,1102410000.00,Canada,,12652451,Basic Industries,Precious Metals
NHC,National HealthCare Corporation Common Stock,$69.55,-0.97,-1.375%,1068986421.00,United States,,46173,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$12.21,0.17,1.412%,238590543.00,United States,,52549,,
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$3.91,-0.09,-2.25%,221536408.00,,2013,164329,,
NNVC,NanoViricides Inc. Common Stock,$4.18,0.05,1.211%,44629860.00,United States,,145140,Health Care,Major Pharmaceuticals
NOG,Northern Oil and Gas Inc. Common Stock,$13.28,-0.06,-0.45%,800556952.00,United States,,682676,,
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$4.28,-0.02,-0.465%,202959316.00,United States,2003,289324,,
NSPR,InspireMD Inc. Common Stock,$0.8581,-0.0419,-4.656%,95414779.00,Israel,,10735252,Health Care,Medical/Dental Instruments
NTIP,Network-1 Technologies Inc. Common Stock,$3.31,-0.07,-2.071%,79549482.00,United States,,1933,Miscellaneous,Multi-Sector Companies
NTN,NTN Buzztime Inc. Common Stock,$3.62,-0.31,-7.888%,10738086.00,United States,,246686,Health Care,Major Pharmaceuticals
NXE,Nexgen Energy Ltd. Common Shares,$3.50,-0.47,-11.839%,1321985242.00,,,4192291,Basic Industries,Precious Metals
OCX,OncoCyte Corporation Common Stock,$4.92,-0.42,-7.865%,431035345.00,United States,2015,950415,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
